batch_size,beat_mask_ms,chunk_count,dropout,join_method,model_choice,n_mask_codebooks,named_output_1_file,named_output_2_file,num_feedback_steps,num_outputs,onset_mask_width,peak_limit,periodic_p,pitch_shift_amt,run_id,run_number,sample_cutoff,sampletemp,sampling_steps,status,stretch_factor,sweep_label,sweep_param,sweep_value,top_p,typical_filtering,typical_mass,typical_min_tokens
2,0,1,0.0,direct,n64,0,001_compression_compare_comp0_stretch1_2761ef6466a7_output1.wav,001_compression_compare_comp0_stretch1_2761ef6466a7_output2.wav,1,2,0,0.99,7,0,001_compression_compare_comp0_stretch1_2761ef6466a7,1,1.0,1.0,36,ok,1,comp0_stretch1,compression_compare,n_mask_codebooks=0;stretch_factor=1,0.0,True,0.15,64
2,0,1,0.0,direct,n64,14,002_compression_compare_comp14_stretch1_1f4483f5df19_output1.wav,002_compression_compare_comp14_stretch1_1f4483f5df19_output2.wav,1,2,0,0.99,7,0,002_compression_compare_comp14_stretch1_1f4483f5df19,2,1.0,1.0,36,ok,1,comp14_stretch1,compression_compare,n_mask_codebooks=14;stretch_factor=1,0.0,True,0.15,64
2,0,1,0.0,direct,n64,0,003_compression0_timestretch_comp0_stretch2_2ea6b0bcf391_output1.wav,003_compression0_timestretch_comp0_stretch2_2ea6b0bcf391_output2.wav,1,2,0,0.99,7,0,003_compression0_timestretch_comp0_stretch2_2ea6b0bcf391,3,1.0,1.0,36,ok,2,comp0_stretch2,compression0_timestretch,n_mask_codebooks=0;stretch_factor=2,0.0,True,0.15,64
2,0,1,0.0,direct,n64,0,004_compression0_timestretch_comp0_stretch4_0c5fb756fb8c_output1.wav,004_compression0_timestretch_comp0_stretch4_0c5fb756fb8c_output2.wav,1,2,0,0.99,7,0,004_compression0_timestretch_comp0_stretch4_0c5fb756fb8c,4,1.0,1.0,36,ok,4,comp0_stretch4,compression0_timestretch,n_mask_codebooks=0;stretch_factor=4,0.0,True,0.15,64
2,0,1,0.0,direct,n64,0,005_compression0_timestretch_comp0_stretch6_46257b515453_output1.wav,005_compression0_timestretch_comp0_stretch6_46257b515453_output2.wav,1,2,0,0.99,7,0,005_compression0_timestretch_comp0_stretch6_46257b515453,5,1.0,1.0,36,ok,6,comp0_stretch6,compression0_timestretch,n_mask_codebooks=0;stretch_factor=6,0.0,True,0.15,64
2,100,1,0.0,direct,n64,14,006_beat_only_mask_beatonly_100ms_85650cb55dbf_output1.wav,006_beat_only_mask_beatonly_100ms_85650cb55dbf_output2.wav,1,2,0,0.99,0,0,006_beat_only_mask_beatonly_100ms_85650cb55dbf,6,1.0,1.0,36,ok,1,beatonly_100ms,beat_only_mask,periodic_prompt=0;n_mask_codebooks=14;beat_mask_ms=100;stretch_factor=1,0.0,True,0.15,64
