batch_size,beat_mask_ms,chunk_count,chunk_seconds,crossfade_seconds,dropout,join_method,model_choice,n_mask_codebooks,num_feedback_steps,num_outputs,onset_mask_width,periodic_p,pitch_shift_amt,preset,run_id,run_number,sample_cutoff,sampletemp,sampling_steps,status,stretch_factor,sweep_label,sweep_param,sweep_value,top_p,typical_filtering,typical_mass,typical_min_tokens
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,030_top_p_mid50_0p5_7fe91c75731e,30,1.0,1.0,36,ok,1,mid50,top_p,0.5,0.5,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,031_top_p_high80_0p8_2025904b6146,31,1.0,1.0,36,ok,1,high80,top_p,0.8,0.8,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,032_typical_filtering_false_false_a12a6c9ddabb,32,1.0,1.0,36,ok,1,false,typical_filtering,False,0.0,False,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,033_typical_filtering_true_true_51b317493ca9,33,1.0,1.0,36,ok,1,true,typical_filtering,True,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,034_typical_mass_low20_0p21_e56c06d71bee,34,1.0,1.0,36,ok,1,low20,typical_mass,0.21,0.0,True,0.21,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,035_typical_mass_mid50_0p5_6c27027309ba,35,1.0,1.0,36,ok,1,mid50,typical_mass,0.5,0.0,True,0.5,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,036_typical_mass_high80_0p79_5c9a9b402d0b,36,1.0,1.0,36,ok,1,high80,typical_mass,0.79,0.0,True,0.79,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,037_typical_min_tokens_low20_52_65e88fa23099,37,1.0,1.0,36,ok,1,low20,typical_min_tokens,52,0.0,True,0.15,52
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,038_typical_min_tokens_mid50_129_d7f970026b55,38,1.0,1.0,36,ok,1,mid50,typical_min_tokens,129,0.0,True,0.15,129
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,039_typical_min_tokens_high80_205_b5ad9ba04067,39,1.0,1.0,36,ok,1,high80,typical_min_tokens,205,0.0,True,0.15,205
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,040_sample_cutoff_low20_0p18_98cc26c04d83,40,0.18,1.0,36,ok,1,low20,sample_cutoff,0.18,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,041_sample_cutoff_mid50_0p45_f2a47e96c598,41,0.45,1.0,36,ok,1,mid50,sample_cutoff,0.45,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,042_sample_cutoff_high80_0p72_131f7b211998,42,0.72,1.0,36,ok,1,high80,sample_cutoff,0.72,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,043_sampling_steps_low20_26_a7a7931e9aea,43,1.0,1.0,26,ok,1,low20,sampling_steps,26,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,044_sampling_steps_mid50_65_3d97f55ccf6c,44,1.0,1.0,65,ok,1,mid50,sampling_steps,65,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,045_sampling_steps_high80_103_c50623860ad8,45,1.0,1.0,103,ok,1,high80,sampling_steps,103,0.0,True,0.15,64
